day_number,day_name,day_focus,exercise_order,split,exercise,exercise_category,sets,reps,target_rir,target_fatigue,model_predicted_weight,final_recommended_weight,history_available,safety_adjustment,recommendation_reason
1,Day 1 - Push,Push,1,ppl,Shoulder Press,push,4,8,2,6,8.21,7.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Push,Push,2,ppl,Bench Press,push,4,7,2,6,14.39,15.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Push,Push,3,ppl,Triceps Pushdown,push,3,12,2,6,3.72,2.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Push,Push,4,ppl,Incline Bench Press,push,5,6,2,6,14.76,15.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Push,Push,5,ppl,Lateral Raise,push,5,13,2,6,3.73,2.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,1,ppl,Seated Row,pull,3,10,2,6,11.84,12.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,2,ppl,Lat Pulldown,pull,3,10,2,6,11.28,12.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,3,ppl,Biceps Curl,pull,3,12,2,6,3.79,5.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,4,ppl,Barbell Row,pull,5,5,2,6,24.11,25.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,5,ppl,Rear Delt Row,pull,5,13,2,6,6.31,7.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,1,ppl,Calf Raise,legs,4,15,2,6,10.37,10.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,2,ppl,Leg Press,legs,3,11,2,6,21.21,20.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,3,ppl,Squat,legs,4,6,2,6,22.57,22.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,4,ppl,Deadlift,legs,5,4,2,6,37.38,37.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,5,ppl,Leg Curl,legs,4,11,2,6,7.81,7.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
