day_number,day_name,day_focus,exercise_order,split,exercise,exercise_category,sets,reps,target_rir,target_fatigue,model_predicted_weight,final_recommended_weight,history_available,safety_adjustment,recommendation_reason
1,Day 1 - Full Body,Full Body,1,fbw,Bench Press,push,4,7,2,6,30.11,30.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Full Body,Full Body,2,fbw,Seated Row,pull,3,9,2,6,23.1,22.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Full Body,Full Body,3,fbw,Shoulder Press,push,3,8,2,6,16.89,17.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Full Body,Full Body,4,fbw,Squat,legs,3,6,2,6,45.98,45.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Full Body,Full Body,5,fbw,Barbell Row,pull,5,5,2,6,24.25,25.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Full Body,Full Body,6,fbw,Lat Pulldown,pull,5,8,2,6,16.14,15.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Full Body,Full Body,1,fbw,Shoulder Press,push,3,8,2,6,16.89,17.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Full Body,Full Body,2,fbw,Squat,legs,3,6,2,6,45.98,45.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Full Body,Full Body,3,fbw,Bench Press,push,4,7,2,6,30.11,30.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Full Body,Full Body,4,fbw,Seated Row,pull,3,9,2,6,23.1,22.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Full Body,Full Body,5,fbw,Barbell Row,pull,5,5,2,6,24.25,25.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Full Body,Full Body,6,fbw,Lat Pulldown,pull,5,8,2,6,16.14,15.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
