day_number,day_name,day_focus,exercise_order,split,exercise,exercise_category,sets,reps,target_rir,target_fatigue,model_predicted_weight,final_recommended_weight,history_available,safety_adjustment,recommendation_reason
1,Day 1 - Push,Push,1,ppl,Triceps Pushdown,push,4,12,4,3,11.05,10.0,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Push,Push,2,ppl,Lateral Raise,push,4,15,4,3,6.39,5.0,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Push,Push,3,ppl,Shoulder Press,push,3,8,4,3,18.66,17.5,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Push,Push,4,ppl,Bench Press,push,3,6,4,3,30.4,27.5,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Push,Push,5,ppl,Incline Bench Press,push,4,8,4,3,20.94,20.0,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,1,ppl,Rear Delt Row,pull,3,15,4,3,8.05,7.5,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,2,ppl,Barbell Row,pull,3,6,4,3,34.86,30.0,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,3,ppl,Biceps Curl,pull,3,12,4,3,9.09,10.0,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,4,ppl,Lat Pulldown,pull,3,10,4,3,25.7,22.5,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,5,ppl,Seated Row,pull,3,10,4,3,25.9,25.0,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,1,ppl,Calf Raise,legs,3,15,4,3,26.03,25.0,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,2,ppl,Squat,legs,4,6,4,3,51.34,47.5,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,3,ppl,Leg Press,legs,4,11,4,3,51.88,45.0,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,4,ppl,Deadlift,legs,4,4,4,3,61.08,55.0,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,5,ppl,Leg Curl,legs,3,12,4,3,13.82,12.5,False,deload_reduction,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
