day_number,day_name,day_focus,exercise_order,split,exercise,exercise_category,sets,reps,target_rir,target_fatigue,model_predicted_weight,final_recommended_weight,history_available,safety_adjustment,recommendation_reason
1,Day 1 - Push,Push,1,ppl,Shoulder Press,push,5,8,2,6,21.23,20.0,True,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Push,Push,2,ppl,Lateral Raise,push,5,15,2,6,5.34,5.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Push,Push,3,ppl,Triceps Pushdown,push,5,12,2,6,9.65,10.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Push,Push,4,ppl,Incline Bench Press,push,5,8,2,6,24.01,22.5,True,limited_by_progression_cap,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Push,Push,5,ppl,Bench Press,push,5,6,2,6,30.78,30.0,True,limited_by_progression_cap,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,1,ppl,Lat Pulldown,pull,5,9,2,6,46.14,45.0,True,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,2,ppl,Rear Delt Row,pull,5,14,2,6,6.71,7.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,3,ppl,Seated Row,pull,5,9,2,6,22.14,22.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,4,ppl,Biceps Curl,pull,5,12,2,6,7.57,7.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Pull,Pull,5,ppl,Barbell Row,pull,5,6,2,6,79.11,80.0,True,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,1,ppl,Leg Press,legs,5,10,2,6,40.09,40.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,2,ppl,Squat,legs,5,5,2,6,107.57,105.0,True,limited_by_high_fatigue_or_low_rir,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,3,ppl,Calf Raise,legs,5,15,2,6,20.72,20.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,4,ppl,Leg Curl,legs,5,12,2,6,10.76,10.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Legs,Legs,5,ppl,Deadlift,legs,5,4,2,6,107.74,102.5,True,limited_by_high_fatigue_or_low_rir,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
